Id,Name,Latitude,Longitude,L1,L2,L3,L4,L5,L6,L7,L8,L9S,L9N,L10,L11,L12
1,Aeroport T1,41.2896,2.0739,,,,,,,,,1,,,,
2,Aeroport T2,41.3043,2.07347,,,,,,,,,2,,,,
3,Alfons X,41.411828,2.165347,,,,6,,,,,,,,,
4,Almeda,41.353056,2.085278,,,,,,,,4,,,,,
5,Arc de Triomf,41.392444,2.180611,18,,,,,,,,,,,,
6,Artigues i Sant Adrià,41.4334,2.217233,,14,,,,,,,,,,,
7,Avinguda Carrilet,41.3575,2.102222,3,,,,,,,5,,,,,
8,Avinguda Tibidabo,41.409642,2.137167,,,,,,,1,,,,,,
9,Bac de Roda,41.413611,2.193889,,10,,,,,,,,,,,
10,Badal,41.376,2.129,,,,,8,,,,,,,,
11,Badalona Pompeu Fabra,41.449119,2.244236,,18,,,,,,,,,,,
12,Barceloneta,41.382473,2.18564,,,,13,,,,,,,,,
13,Baró de Viver,41.448539,2.200444,28,,,,,,,,,,,,
14,Bellvitge,41.351389,2.111944,2,,,,,,,,,,,,
15,Besòs,41.420161,2.209283,,,,21,,,,,,,,,
16,Besòs Mar,41.415,2.216111,,,,20,,,,,,,,,
17,Bogatell,41.394956,2.191312,,,,15,,,,,,,,,
18,Bon Pastor,41.436122,2.205308,,,,,,,,,,3,3,,
19,Camp de l'Arpa,41.415,2.181111,,,,,17,,,,,,,,
20,Can Boixeres,41.366342,2.090686,,,,,4,,,,,,,,
21,Can Cuiàs,41.4632,2.17181,,,,,,,,,,,,5,
22,Can Peixauet,41.444536,2.209903,,,,,,,,,,4,,,
23,Can Serra,41.367222,2.103056,5,,,,,,,,,,,,
24,Can Tries | Gornal,41.361631,2.118506,,,,,,,,,12,,,,
25,Can Vidalet,41.371389,2.099572,,,,,5,,,,,,,,
26,Can Zam,41.457547,2.198214,,,,,,,,,,9,,,
27,Canyelles,41.442778,2.167778,,,24,,,,,,,,,,
28,Casa de l'Aigua,41.452778,2.186111,,,,,,,,,,,,2,
29,Catalunya,41.386944,2.17,16,,13,,,8,7,,,,,,
30,Cèntric,41.3224,2.093,,,,,,,,,5,,,,
31,Ciutadella | Vila Olímpica,41.387994,2.1933,,,,14,,,,,,,,,
32,Ciutat Meridiana,41.4609,2.1744,,,,,,,,,,,,4,
33,Clot,41.408972,2.187222,21,9,,,,,,,,,,,
34,Collblanc,41.375592,2.12065,,,,,7,,,,14,,,,
35,Congrés,41.423333,2.180556,,,,,19,,,,,,,,
36,Cornellà Centre,41.357519,2.07065,,,,,1,,,,,,,,
37,Cornellà-Riera,41.351525,2.070756,,,,,,,,3,,,,,
38,Diagonal,41.394722,2.159722,,,15,,13,,,,,,,,
39,Drassanes,41.376667,2.175556,,,11,,,,,,,,,,
40,El Carmel,41.4245,2.155167,,,,,24,,,,,,,,
41,El Coll | La Teixonera,41.420278,2.149722,,,,,25,,,,,,,,
